temperature,protocol,seed,eer_pct,rank1_pct,val_eer_pct,val_rank1_pct
0.05,e80v20,2024,0.8969,82.5112,0.1664,100.0
0.07,e80v20,5,0.8969,80.7175,0.1815,100.0
0.07,e80v20,7,0.8969,79.3722,0.1815,98.2759
0.07,e80v20,17,0.8969,85.6502,0.1512,100.0
0.07,e80v20,31,0.9453,82.5112,0.1361,100.0
0.07,e80v20,42,0.9211,81.6143,0.2722,96.5517
0.07,e80v20,88,0.8716,85.6502,0.121,100.0
0.07,e80v20,99,0.8969,81.1659,0.1512,100.0
0.07,e80v20,123,0.8969,82.5112,0.1361,100.0
0.07,e80v20,256,0.8969,83.8565,0.1815,100.0
0.07,e80v20,2024,0.8847,83.4081,0.1361,100.0
0.09,e80v20,5,0.914,82.9596,0.1512,100.0
0.09,e80v20,7,0.9686,84.7534,0.121,100.0
0.09,e80v20,17,0.8969,82.0628,0.1059,98.2759
0.09,e80v20,31,0.8969,81.1659,0.1361,98.2759
0.09,e80v20,42,0.8858,82.5112,0.121,98.2759
0.09,e80v20,88,0.9342,77.13,0.121,98.2759
0.09,e80v20,99,1.3291,72.1973,0.3025,93.1034
0.09,e80v20,123,0.8969,82.9596,0.1361,96.5517
0.09,e80v20,256,0.9373,78.9238,0.1512,98.2759
0.09,e80v20,2024,0.8918,85.6502,0.121,100.0
0.1,e80v20,5,0.9514,81.1659,0.1361,100.0
0.1,e80v20,7,0.9191,81.6143,0.1664,98.2759
0.1,e80v20,17,0.9615,81.6143,0.121,100.0
0.1,e80v20,31,0.9635,78.0269,0.1512,98.2759
0.1,e80v20,42,0.9766,79.3722,0.1815,100.0
0.1,e80v20,88,0.8746,83.8565,0.1361,100.0
0.1,e80v20,99,0.8888,79.8206,0.1361,100.0
0.1,e80v20,123,0.8969,82.5112,0.121,98.2759
0.1,e80v20,256,0.8969,81.6143,0.1512,100.0
0.1,e80v20,2024,1.2392,74.4395,0.0907,98.2759
0.12,e80v20,5,0.8817,80.2691,0.1361,98.2759
0.12,e80v20,7,1.2352,82.5112,0.1512,98.2759
0.12,e80v20,17,0.9251,83.4081,0.1815,98.2759
0.12,e80v20,31,1.3029,72.1973,0.121,98.2759
